date,close,eps,pe,bv,pb,div-yield %
2009-01-30,2874.8,214.54,13.4,1202.85,2.39,1.95
2008-12-31,2959.1,228.15,12.97,1212.75,2.44,1.91
2008-11-28,2755.1,228.07,12.08,1187.54,2.32,2.05
2008-10-31,2885.6,229.56,12.57,1192.4,2.42,1.96
2008-09-30,3921.2,232.71,16.85,1202.82,3.26,1.45
2008-08-29,4360.0,236.57,18.43,1138.38,3.83,1.29
2008-07-31,4332.9,237.81,18.22,1085.94,3.99,1.28
2008-06-30,4040.5,233.83,17.28,1010.12,4.0,1.35
2008-05-30,4870.1,234.82,20.74,972.08,5.01,1.09
2008-04-30,5165.9,233.01,22.17,930.79,5.55,0.97
2008-03-31,4734.5,229.5,20.63,930.16,5.09,1.06
2008-02-29,5223.5,234.55,22.27,954.94,5.47,0.98
2008-01-31,5137.4,233.84,21.97,954.91,5.38,0.99
2007-12-31,6138.6,222.25,27.62,960.66,6.39,0.84
2007-11-30,5762.7,228.59,25.21,952.51,6.05,0.93
2007-10-31,5900.6,229.24,25.74,954.79,6.18,0.91
2007-09-28,5021.3,222.38,22.58,936.81,5.36,1.06
2007-08-31,4464.0,220.99,20.2,878.74,5.08,1.1
2007-07-31,4528.8,221.02,20.49,852.88,5.31,1.07
2007-06-29,4318.3,209.63,20.6,799.69,5.4,1.11
2007-05-31,4295.8,210.48,20.41,768.48,5.59,1.1
2007-04-30,4087.9,209.85,19.48,766.96,5.33,1.15
2007-03-30,3821.5,207.69,18.4,784.7,4.87,1.25
2007-02-28,3745.3,207.96,18.01,785.18,4.77,1.27
2007-01-31,4082.7,205.68,19.85,785.13,5.2,1.17
2006-12-29,3966.4,186.57,21.26,782.33,5.07,1.22
2006-11-30,3954.5,186.71,21.18,778.44,5.08,1.22
2006-10-31,3744.1,183.8,20.37,773.57,4.84,1.32
2006-09-29,3588.4,171.53,20.92,753.87,4.76,1.33
2006-08-31,3413.9,178.27,19.15,750.31,4.55,1.47
2006-07-31,3143.2,178.19,17.64,732.68,4.29,1.58
2006-06-30,3128.2,169.64,18.44,671.29,4.66,1.49
2006-05-31,3071.0,175.89,17.46,671.99,4.57,1.48
2006-04-29,3557.6,175.16,20.31,660.04,5.39,1.27
2006-03-31,3402.5,167.94,20.26,660.68,5.15,1.33
2006-02-28,3074.7,168.29,18.27,662.65,4.64,1.47
2006-01-31,3001.1,167.66,17.9,662.49,4.53,1.51
2005-12-30,2836.5,165.3,17.16,649.08,4.37,1.56
2005-11-30,2652.2,166.28,15.95,653.25,4.06,1.68
2005-10-31,2370.9,166.61,14.23,653.14,3.63,1.87
2005-09-30,2601.4,161.08,16.15,648.73,4.01,1.7
2005-08-31,2384.6,161.34,14.78,613.01,3.89,1.59
2005-07-29,2312.3,163.99,14.1,599.04,3.86,1.62
2005-06-30,2220.6,155.18,14.31,557.94,3.98,1.55
2005-05-31,2087.5,149.75,13.94,533.89,3.91,1.97
2005-04-29,1902.5,143.37,13.27,534.41,3.56,2.11
2005-03-31,2035.6,139.42,14.6,532.88,3.82,1.97
2005-02-28,2103.2,140.03,15.02,536.53,3.92,1.9
2005-01-31,2057.6,140.16,14.68,576.36,3.57,1.94
2004-12-31,2080.5,135.8,15.32,576.32,3.61,1.83
2004-11-30,1958.8,119.51,16.39,579.53,3.38,1.92
2004-10-29,1786.9,119.69,14.93,580.16,3.08,2.14
2004-09-30,1745.5,119.64,14.59,552.37,3.16,2.18
2004-08-31,1631.7,119.63,13.64,553.12,2.95,2.4
2004-07-30,1632.3,119.76,13.63,553.32,2.95,2.45
2004-06-30,1505.6,119.11,12.64,532.01,2.83,2.59
2004-05-31,1483.6,124.25,11.94,522.39,2.84,2.59
2004-04-30,1796.1,96.15,18.68,507.37,3.54,1.98
2004-03-31,1771.9,85.6,20.7,506.26,3.5,1.77
2004-02-27,1800.3,91.2,19.74,462.8,3.89,1.52
2004-01-30,1809.7,90.67,19.96,464.03,3.9,1.52
2003-12-31,1879.7,90.68,20.73,464.12,4.05,1.47
2003-11-28,1615.2,90.69,17.81,465.48,3.47,1.71
2003-10-31,1555.9,90.72,17.15,464.45,3.35,1.77
2003-09-30,1417.1,90.78,15.61,464.62,3.05,1.85
2003-08-29,1356.5,90.74,14.95,464.55,2.92,1.93
2003-07-31,1185.8,92.35,12.84,465.02,2.55,2.23
2003-06-30,1134.1,87.58,12.95,464.8,2.44,2.62
2003-05-30,1006.8,86.42,11.65,463.96,2.17,2.95
