date,close,eps,pe,book-value,pb,div-yield %
2007-06-29,6740.1,363.94,18.52,2415.81,2.79,1.11
2007-05-31,6324.5,364.52,17.35,2196.01,2.88,1.05
2007-04-30,5621.0,347.83,16.16,2195.7,2.56,1.18
2007-03-30,5308.5,375.16,14.15,2369.87,2.24,1.38
2007-02-28,5240.3,375.38,13.96,2371.18,2.21,1.39
2007-01-31,5953.95,373.99,15.92,2372.09,2.51,1.23
2006-12-29,6008.75,357.24,16.82,2375.0,2.53,1.22
2006-11-30,6198.3,357.46,17.34,2374.83,2.61,1.17
2006-10-31,5588.7,357.56,15.63,2378.17,2.35,1.30
2006-09-29,5276.25,339.96,15.52,2376.69,2.22,1.38
2006-08-31,4594.85,340.11,13.51,2380.75,1.93,1.58
2006-07-31,4078.8,340.18,11.99,2371.4,1.72,1.78
2006-06-30,3708.9,345.66,10.73,2037.86,1.82,1.82
2006-05-31,4123.55,345.94,11.92,1832.69,2.25,1.47
2006-04-29,4549.8,355.73,12.79,1805.48,2.52,1.32
2006-03-31,4661.5,304.47,15.31,1806.78,2.58,1.29
2006-02-28,4579.05,320.21,14.3,1861.4,2.46,1.38
2006-01-31,4617.6,324.5,14.23,1884.73,2.45,1.39
2005-12-30,4534.2,325.97,13.91,1897.15,2.39,1.42
2005-11-30,4298.2,340.59,12.62,1980.74,2.17,1.56
2005-10-31,4003.85,340.75,11.75,1982.1,2.02,1.68
2005-09-30,4622.1,340.61,13.57,1983.73,2.33,1.45
2005-08-31,4062.6,331.37,12.26,1863.58,2.18,1.60
2005-07-29,4361.15,323.77,13.47,1780.06,2.45,1.45
2005-06-30,3638.4,315.29,11.54,1575.06,2.31,1.68
2005-05-31,3467.72,326.22,10.63,1527.63,2.27,1.81
2005-04-29,3162.21,330.43,9.57,1542.54,2.05,2.01
2005-03-31,3536.64,327.77,10.79,1531.01,2.31,1.78
2005-02-28,3676.5,338.85,10.85,1584.7,2.32,1.77
2005-01-31,3429.6,338.89,10.12,1587.78,2.16,1.90
2004-12-31,3497.36,338.89,10.32,1582.52,2.21,1.86
2004-11-30,2997.66,339.87,8.82,1586.06,1.89,2.44
2004-10-29,2466.96,339.8,7.26,1591.59,1.55,2.97
2004-09-30,2505.7,339.99,7.37,1585.89,1.58,2.61
2004-08-31,2345.16,339.88,6.9,1595.35,1.47,2.79
2004-07-30,2332.29,306.48,7.61,1413.51,1.65,2.74
2004-06-30,2256.12,306.54,7.36,1418.94,1.59,2.84
2004-05-31,2243.9,277.71,8.08,1319.94,1.7,2.64
2004-04-30,3059.79,278.42,10.99,1324.58,2.31,1.94
2004-03-31,2813.7,285.95,9.84,1359.28,2.07,2.17
2004-02-27,2603.97,285.84,9.11,1363.34,1.91,2.34
2004-01-30,2639.88,286.01,9.23,1360.76,1.94,2.31
2003-12-31,2588.78,286.05,9.05,1362.52,1.9,2.36
2003-11-28,2202.46,286.03,7.7,1359.54,1.62,2.77
2003-10-31,2294.55,286.46,8.01,1365.8,1.68,2.66
2003-09-30,2029.28,286.22,7.09,1361.93,1.49,3.01
