date,p/e,p/b,div yield %,close,eps
28-Feb-02,18.38,2.94,1.33,1142.0,62.133
31-Jan-02,16.99,2.79,1.26,1075.4,63.296
31-Dec-01,15.35,2.38,1.48,1059.0,68.99
29-Nov-01,15.46,2.4,1.47,1067.1,69.023
31-Oct-01,13.79,2.19,1.61,971.9,70.479
28-Sep-01,13.16,2.06,1.64,913.85,69.441
31-Aug-01,15.1,2.36,1.35,1053.7,69.781
31-Jul-01,15.15,2.37,1.17,1072.8,70.812
29-Jun-01,15.76,2.46,0.89,1107.9,70.298
31-May-01,15.8,3.04,0.81,1167.9,73.918
30-Apr-01,14.57,3.21,0.6,1125.2,77.227
30-Mar-01,17.21,3.75,1.13,1148.2,66.717
28-Feb-01,20.24,4.4,1.12,1351.4,66.769
31-Jan-01,22.22,4.61,1.15,1371.7,61.733
29-Dec-00,19.2,4.14,1.24,1263.5,65.807
30-Nov-00,19.22,4.14,1.25,1268.1,65.978
31-Oct-00,17.74,3.82,1.37,1172.7,66.105
29-Sep-00,19.32,4.15,1.26,1271.6,65.818
31-Aug-00,20.97,4.42,1.06,1394.1,66.481
31-Jul-00,20.71,4.3,1.18,1332.8,64.355
30-Jun-00,22.94,4.89,1.26,1471.4,64.141
31-May-00,22.96,4.7,1.43,1380.4,60.122
28-Apr-00,21.1,3.81,1.77,1406.5,66.659
31-Mar-00,24.6,4.46,1.06,1528.4,62.13
29-Feb-00,26.36,4.79,0.94,1654.8,62.777
31-Jan-00,25.16,4.49,0.98,1546.2,61.455
30-Dec-99,24.09,4.3,1.02,1480.4,61.453
30-Nov-99,21.47,3.83,1.13,1376.1,64.094
29-Oct-99,20.65,3.69,1.15,1325.4,64.184
30-Sep-99,21.96,3.92,1.04,1413.1,64.349
31-Aug-99,21.4,3.71,1.06,1412.0,65.981
30-Jul-99,19.94,3.46,1.08,1310.1,65.702
30-Jun-99,17.91,3.11,1.22,1187.7,66.315
31-May-99,18.01,3.05,1.23,1132.3,62.871
30-Apr-99,15.02,2.58,1.25,978.2,65.126
31-Mar-99,16.53,2.84,1.48,1078.0,65.215
27-Feb-99,13.04,2.32,1.59,981.3,75.253
29-Jan-99,12.83,2.28,1.66,966.2,75.308
